wl,prsi3,xyln3,oliv2
400,3.156590909,4.779772727,3.866363636
401,3.104382411,4.71673419,3.814486166
402,3.052173913,4.653695652,3.762608696
403,3.011086957,4.587756917,3.703917984
404,2.97,4.521818182,3.645227273
405,2.944565217,4.456235178,3.574678854
406,2.919130435,4.390652174,3.504130435
407,2.889451581,4.334985178,3.437178854
408,2.859772727,4.279318182,3.370227273
409,2.837277668,4.240746047,3.332613636
410,2.814782609,4.202173913,3.295
411,2.802164032,4.170064229,3.273295455
412,2.789545455,4.137954545,3.251590909
413,2.791837945,4.121368577,3.243295455
414,2.794130435,4.104782609,3.235
415,2.800474308,4.099209486,3.235
416,2.806818182,4.093636364,3.235
417,2.838517787,4.079644269,3.245543478
418,2.870217391,4.065652174,3.256086957
419,2.918176877,4.047939723,3.267248024
420,2.966136364,4.030227273,3.278409091
421,3.028502964,4.008048419,3.278443676
422,3.090869565,3.985869565,3.278478261
423,3.171304348,3.966956522,3.272282609
424,3.25173913,3.948043478,3.266086957
425,3.324021739,3.931847826,3.261630435
426,3.396304348,3.915652174,3.257173913
427,3.484456522,3.902717391,3.2575
428,3.572608696,3.889782609,3.257826087
429,3.638478261,3.886847826,3.263586957
430,3.704347826,3.883913043,3.269347826
431,3.787391304,3.890434783,3.287065217
432,3.870434783,3.896956522,3.304782609
433,3.941353755,3.899500988,3.323073123
434,4.012272727,3.902045455,3.341363636
435,4.085266798,3.905805336,3.359486166
436,4.15826087,3.909565217,3.377608696
437,4.236403162,3.9156917,3.40062253
438,4.314545455,3.921818182,3.423636364
439,4.398685771,3.931452569,3.453557312
440,4.482826087,3.941086957,3.483478261
441,4.578586957,3.946413043,3.515652174
442,4.674347826,3.95173913,3.547826087
443,4.752826087,3.958152174,3.570217391
444,4.831304348,3.964565217,3.592608696
445,4.933369565,3.977282609,3.62326087
446,5.035434783,3.99,3.653913043
447,5.119130435,4.00076087,3.680978261
448,5.202826087,4.011521739,3.708043478
449,5.306304348,4.021086957,3.727934783
450,5.409782609,4.030652174,3.747826087
451,5.501141304,4.043507905,3.758572134
452,5.5925,4.056363636,3.769318182
453,5.678641304,4.072420949,3.789115613
454,5.764782609,4.088478261,3.808913043
455,5.861847826,4.106086957,3.831956522
456,5.958913043,4.123695652,3.855
457,6.035652174,4.139565217,3.872391304
458,6.112391304,4.155434783,3.889782609
459,6.208478261,4.178478261,3.921521739
460,6.304565217,4.201521739,3.95326087
461,6.383695652,4.220326087,3.985
462,6.462826087,4.239130435,4.01673913
463,6.569347826,4.260978261,4.050652174
464,6.675869565,4.282826087,4.084565217
465,6.780108696,4.306956522,4.123043478
466,6.884347826,4.331086957,4.161521739
467,6.970108696,4.350869565,4.193913043
468,7.055869565,4.370652174,4.226304348
469,7.1725,4.396956522,4.266847826
470,7.289130435,4.42326087,4.307391304
471,7.38423913,4.446086957,4.338152174
472,7.479347826,4.468913043,4.368913043
473,7.5975,4.501195652,4.409021739
474,7.715652174,4.533478261,4.449130435
475,7.83115942,4.56361413,4.486231884
476,7.946666667,4.59375,4.523333333
477,8.069637681,4.626766304,4.560144928
478,8.192608696,4.659782609,4.596956522
479,8.335326087,4.706195652,4.645
480,8.478043478,4.752608696,4.693043478
481,8.601086957,4.797391304,4.740434783
482,8.724130435,4.842173913,4.787826087
483,8.893152174,4.905652174,4.861847826
484,9.062173913,4.969130435,4.935869565
485,9.248913043,5.043043478,5.024347826
486,9.435652174,5.116956522,5.112826087
487,9.60076087,5.186630435,5.196413043
488,9.765869565,5.256304348,5.28
489,9.998152174,5.355,5.395434783
490,10.23043478,5.453695652,5.510869565
491,10.4398913,5.540978261,5.612608696
492,10.64934783,5.62826087,5.714347826
493,10.94467391,5.753478261,5.856086957
494,11.24,5.878695652,5.997826087
495,11.57608696,6.02326087,6.156956522
496,11.91217391,6.167826087,6.316086957
497,12.21032609,6.293369565,6.454565217
498,12.50847826,6.418913043,6.593043478
499,12.91673913,6.590543478,6.787391304
500,13.325,6.762173913,6.98173913
501,13.7284375,6.939524457,7.179307065
502,14.131875,7.116875,7.376875
503,14.5584375,7.310394022,7.5859375
504,14.985,7.503913043,7.795
505,15.48902174,7.745434783,8.0425
506,15.99304348,7.986956522,8.29
507,16.46923007,8.230561594,8.524895833
508,16.94541667,8.474166667,8.759791667
509,17.43336051,8.736213768,9.000330616
510,17.92130435,8.99826087,9.240869565
511,18.47521739,9.315108696,9.511413043
512,19.02913043,9.631956522,9.781956522
513,19.52998188,9.940144928,10.02847826
514,20.03083333,10.24833333,10.275
515,20.53063406,10.56905797,10.52152174
516,21.03043478,10.88978261,10.76804348
517,21.57891304,11.26380435,11.03684783
518,22.1273913,11.63782609,11.30565217
519,22.61077899,11.98505888,11.53876359
520,23.09416667,12.33229167,11.771875
521,23.56740942,12.68288496,11.99680707
522,24.04065217,13.03347826,12.22173913
523,24.54815217,13.41978261,12.45706522
524,25.05565217,13.80608696,12.6923913
525,25.49022192,14.14741848,12.89171649
526,25.92479167,14.48875,13.09104167
527,26.34174366,14.82383152,13.28302083
528,26.75869565,15.15891304,13.475
529,27.19152174,15.51858696,13.6775
530,27.62434783,15.87826087,13.88
531,27.98259058,16.18871377,14.04895833
532,28.34083333,16.49916667,14.21791667
533,28.67596014,16.79914855,14.37461051
