wl,xyln3d,prsi3d,oliv2d
300,-0.0625,0.09375,0.500625
302,-0.068,0.0965,0.5165
304,-0.074090909,0.097272727,0.547272727
306,-0.070909091,0.098181818,0.557727273
308,-0.058695652,0.093478261,0.545652174
310,-0.051363636,0.085454545,0.542272727
312,-0.039090909,0.079090909,0.560454545
314,-0.025,0.091818182,0.588181818
316,-0.026818182,0.105454545,0.615909091
318,-0.043181818,0.128636364,0.647272727
320,-0.044090909,0.152272727,0.646818182
322,-0.049565217,0.175652174,0.617826087
324,-0.06,0.186818182,0.595
326,-0.073636364,0.181818182,0.597272727
328,-0.077727273,0.168181818,0.609545455
330,-0.089545455,0.155909091,0.628181818
332,-0.087272727,0.143181818,0.650454545
334,-0.081363636,0.137727273,0.649090909
336,-0.076956522,0.14,0.625652174
338,-0.075909091,0.136818182,0.599545455
340,-0.075652174,0.125652174,0.57
342,-0.088636364,0.107727273,0.539545455
344,-0.100454545,0.09,0.515909091
346,-0.097727273,0.074090909,0.514545455
348,-0.091818182,0.081818182,0.519545455
350,-0.077272727,0.094090909,0.525454545
352,-0.058636364,0.097727273,0.524090909
354,-0.042608696,0.095217391,0.519130435
356,-0.031363636,0.088636364,0.500454545
358,-0.021304348,0.067391304,0.47826087
360,-0.019090909,0.047727273,0.462727273
362,-0.032173913,0.046521739,0.462608696
364,-0.04,0.048181818,0.466818182
366,-0.047391304,0.055652174,0.474347826
368,-0.055909091,0.064090909,0.484090909
370,-0.066956522,0.062608696,0.48826087
372,-0.068181818,0.056363636,0.487727273
374,-0.063913043,0.046521739,0.486956522
376,-0.055,0.038181818,0.490454545
378,-0.045217391,0.03173913,0.495652174
380,-0.035,0.037272727,0.503636364
382,-0.035217391,0.046086957,0.513043478
384,-0.042272727,0.055454545,0.519090909
386,-0.057826087,0.06,0.516086957
388,-0.066818182,0.064545455,0.516818182
390,-0.066521739,0.063043478,0.52826087
392,-0.059545455,0.060454545,0.546818182
394,-0.048695652,0.05826087,0.573043478
396,-0.034545455,0.057272727,0.602272727
398,-0.032173913,0.053913043,0.625652174
400,-0.031363636,0.047727273,0.64
402,-0.032173913,0.044347826,0.64826087
404,-0.033636364,0.040454545,0.659545455
406,-0.035652174,0.030434783,0.678695652
408,-0.031818182,0.025454545,0.701363636
410,-0.026086957,0.028695652,0.734782609
412,-0.026363636,0.031363636,0.766363636
414,-0.027826087,0.032608696,0.778695652
416,-0.026363636,0.039090909,0.779545455
418,-0.026521739,0.043043478,0.769565217
420,-0.030454545,0.042272727,0.758181818
422,-0.028695652,0.04,0.764347826
424,-0.025652174,0.040869565,0.80826087
426,-0.025652174,0.04173913,0.863478261
428,-0.025652174,0.043478261,0.932608696
430,-0.024347826,0.045217391,0.984782609
432,-0.022173913,0.049130435,1.044347826
434,-0.018181818,0.053181818,1.078181818
436,-0.012173913,0.055217391,1.094782609
438,-0.011363636,0.056818182,1.12
440,-0.012173913,0.057826087,1.146086957
442,-0.011304348,0.057391304,1.163478261
444,-0.010869565,0.055652174,1.182173913
446,-0.012173913,0.055652174,1.234347826
448,-0.008695652,0.059130435,1.284347826
450,-0.004347826,0.066086957,1.354347826
452,-0.002272727,0.074090909,1.43
454,-0.001304348,0.08,1.483478261
456,0.002608696,0.087391304,1.518695652
458,0.003478261,0.090434783,1.550434783
460,0.005652174,0.092608696,1.613043478
462,0.009130435,0.092173913,1.664782609
464,0.015217391,0.096086957,1.747826087
466,0.01826087,0.099565217,1.850434783
468,0.020869565,0.10173913,1.931304348
470,0.026086957,0.106086957,2.01826087
472,0.03,0.111304348,2.089565217
474,0.03,0.115652174,2.178695652
476,0.031666667,0.120416667,2.2425
478,0.037826087,0.124347826,2.253478261
480,0.04173913,0.127826087,2.213913043
482,0.043913043,0.13173913,2.175652174
484,0.05,0.139565217,2.160869565
486,0.055217391,0.146086957,2.177391304
488,0.056521739,0.152608696,2.265217391
490,0.059130435,0.161304348,2.452608696
492,0.063043478,0.169565217,2.652608696
494,0.067391304,0.18,2.89173913
496,0.07173913,0.192173913,3.147391304
498,0.076521739,0.202608696,3.355217391
500,0.083913043,0.217391304,3.59826087
502,0.090416667,0.23125,3.779166667
504,0.096521739,0.245652174,3.955217391
506,0.105217391,0.262608696,4.129130435
508,0.11375,0.279166667,4.2825
510,0.122173913,0.296086957,4.444347826
512,0.13173913,0.315217391,4.63173913
514,0.140833333,0.331666667,4.773333333
516,0.15,0.348695652,4.92
518,0.159130435,0.367391304,5.1
520,0.1675,0.384166667,5.230833333
522,0.175217391,0.4,5.296956522
524,0.184782609,0.417826087,5.293478261
526,0.194166667,0.43375,5.27
528,0.204347826,0.448695652,5.243913043
530,0.215652174,0.463913043,5.255652174
532,0.225,0.4775,5.365416667
534,0.233913043,0.49173913,5.582608696
536,0.242608696,0.506521739,5.791304348
538,0.249583333,0.519583333,5.883333333
540,0.256086957,0.532173913,5.98173913
542,0.264347826,0.546956522,6.116521739
544,0.270833333,0.559583333,6.249583333
546,0.277826087,0.57173913,6.445652174
548,0.285652174,0.585217391,6.73173913
550,0.292916667,0.597916667,6.948333333
552,0.300416667,0.610416667,7.14375
554,0.307391304,0.620434783,7.285217391
556,0.312916667,0.629166667,7.370833333
558,0.319166667,0.63875,7.44625
560,0.324347826,0.646086957,7.500434783
562,0.329565217,0.653043478,7.504782609
564,0.334166667,0.65875,7.484166667
566,0.34,0.665833333,7.46
568,0.345217391,0.670869565,7.420869565
570,0.350416667,0.674583333,7.384166667
572,0.356666667,0.679583333,7.380833333
574,0.363333333,0.684583333,7.40625
576,0.369130435,0.688695652,7.441304348
578,0.373333333,0.6925,7.502083333
580,0.3775,0.696666667,7.572083333
582,0.38125,0.699166667,7.62125
584,0.383913043,0.700434783,7.637826087
586,0.385833333,0.700416667,7.625
588,0.388333333,0.701666667,7.60375
590,0.392083333,0.701666667,7.573333333
592,0.394347826,0.701304348,7.52
594,0.394166667,0.70125,7.46625
596,0.393333333,0.70125,7.436666667
598,0.390833333,0.69875,7.402916667
600,0.384583333,0.696666667,7.334583333
602,0.379583333,0.695,7.301666667
604,0.37375,0.692916667,7.274166667
606,0.3675,0.690833333,7.21875
608,0.36125,0.69,7.175416667
610,0.357083333,0.691666667,7.19375
612,0.35375,0.693333333,7.2075
614,0.353333333,0.695416667,7.20125
616,0.356666667,0.697083333,7.186666667
618,0.363333333,0.698333333,7.151666667
620,0.3725,0.69875,7.079583333
622,0.38125,0.698333333,7.000416667
624,0.392083333,0.69625,6.893333333
626,0.403333333,0.6925,6.8
628,0.416666667,0.689166667,6.719583333
630,0.43,0.684166667,6.651666667
632,0.4424,0.6788,6.624
634,0.45375,0.673333333,6.6275
636,0.46375,0.668333333,6.655833333
638,0.46875,0.66125,6.71125
640,0.47125,0.65375,6.801666667
642,0.47125,0.647916667,6.921666667
644,0.47,0.6428,7.0484
646,0.466,0.6356,7.208
648,0.460833333,0.63,7.37125
650,0.45125,0.6225,7.589583333
652,0.4375,0.612916667,7.843333333
654,0.420416667,0.604166667,8.10625
656,0.402083333,0.597916667,8.385
658,0.386,0.5936,8.6772
660,0.3692,0.5908,9.0404
662,0.3532,0.5908,9.428
664,0.34125,0.59375,9.804166667
666,0.332916667,0.601666667,10.24583333
668,0.331666667,0.614583333,10.68
670,0.337916667,0.632916667,11.09666667
672,0.354166667,0.657083333,11.5025
674,0.3784,0.6836,11.8476
676,0.4152,0.718,12.1928
678,0.4608,0.7588,12.5096
680,0.518,0.8052,12.8188
682,0.5892,0.8568,13.1116
684,0.6716,0.9112,13.3948
686,0.7616,0.9672,13.6892
688,0.84875,1.017916667,13.95625
690,0.9475,1.074166667,14.21958333
692,1.04375,1.12875,14.4425
694,1.137916667,1.180416667,14.57958333
696,1.22875,1.229583333,14.67708333
698,1.3056,1.2708,14.8012
700,1.388,1.3136,14.9588
702,1.4656,1.3544,15.1188
704,1.538,1.3944,15.3276
706,1.6048,1.4308,15.532
708,1.6668,1.4632,15.6532
710,1.7264,1.4928,15.7196
712,1.7828,1.5204,15.7828
714,1.836,1.5464,15.868
716,1.888,1.5716,15.986
718,1.94,1.5956,16.124
720,1.9884,1.6176,16.2636
722,2.0328,1.6364,16.386
724,2.074,1.6532,16.4704
726,2.1144,1.6664,16.5164
728,2.1532,1.6784,16.54
730,2.1908,1.6916,16.5668
732,2.232,1.7052,16.6216
734,2.2744,1.7172,16.7004
