wl,prsi1,prsi2,prsi3,prsi4,xyln1,xyln2,xyln3,xyln4,psch1,psch2,psch3,psch4
300,47.62545455,42.09727273,29.93090909,40.94545455,34.22636364,35.47363636,41.73272727,37.43818182,17.67090909,26.84818182,23.07181818,28.35181818
302,48.29533333,40.81666667,29.09266667,39.916,36.73266667,35.49266667,41.32666667,38.37466667,18.46733333,26.506,23.986,28.47933333
304,46.4465,39.3105,27.4575,38.277,37.85,35.547,40.0915,38.0415,18.8885,25.367,24.644,28.1205
306,43.79681818,38.34863636,25.55954545,36.83045455,38.46227273,35.81090909,39.00727273,37.53,19.13181818,23.56590909,24.83545455,27.88136364
308,41.64,36.59318182,23.62181818,34.20363636,38.27818182,35.40636364,36.87909091,36.79,18.865,21.09090909,24.38681818,26.37136364
310,40.54545455,35.56772727,22.49272727,32.52181818,36.7,33.68954545,34.70818182,35.87590909,18.78727273,19.94227273,23.89318182,24.69
312,37.74454545,34.98454545,21.88727273,31.44363636,34.57136364,32.23636364,32.92045455,34.33409091,17.61227273,18.36,21.815,22.06954545
314,35.46454545,34.75318182,21.89727273,30.72181818,32.65681818,30.65636364,31.30454545,33.36727273,16.16636364,18.055,20.01681818,19.13818182
316,34.60409091,33.87590909,22.39909091,30.425,31.52454545,29.73409091,30.04909091,32.52454545,14.805,18.33909091,19.11136364,17.51363636
318,32.89904762,32.72619048,22.41095238,30.20666667,31.33,28.7247619,28.77,31.60047619,13.67190476,19.07190476,18.64809524,16.43714286
320,31.035,30.67681818,21.68636364,29.17545455,30.79227273,28.33227273,27.28090909,30.03636364,12.57090909,19.04,17.70272727,16.26681818
322,30.43136364,28.735,21.07590909,27.87590909,29.73818182,27.62,26.14681818,28.59272727,12.41409091,19.42681818,17.76454545,16.33772727
324,30.05409091,26.83136364,20.33090909,26.02954545,28.35681818,25.91818182,24.43954545,26.66727273,12.43909091,19.24227273,17.25136364,15.77272727
326,30.365,25.575,19.63318182,24.97272727,27.51,23.89545455,23.395,25.87181818,12.38045455,19.53227273,16.485,14.62454545
328,30.35545455,24.76818182,19.09409091,23.80181818,26.74772727,22.27863636,22.53909091,24.945,12.02545455,19.00090909,15.26363636,13.41863636
330,29.21772727,23.60454545,18.21636364,22.49772727,24.92409091,21.10272727,21.20818182,23.58227273,11.32272727,18.01227273,14.65636364,12.39136364
332,27.07636364,22.78818182,16.98045455,21.38545455,23.09727273,20.19454545,19.65727273,22.48227273,10.42818182,16.90818182,13.78181818,11.67545455
334,25.1652381,20.93714286,15.21666667,20.29666667,20.4852381,19.2352381,18.13428571,20.99238095,9.026666667,15.24,12.32714286,11.31952381
336,22.62409091,18.87727273,13.105,17.98318182,17.95772727,18.33,16.515,18.71727273,7.895909091,13.08,10.43545455,11.15
338,19.82090909,17.28045455,10.99954545,15.82272727,15.83409091,17.43,14.84818182,16.815,7.338636364,11.52727273,9.451363636,10.99772727
340,17.37,15.64409091,8.699545455,13.63272727,14.27136364,15.7,12.97090909,14.96363636,6.935454545,10.57863636,8.145,10.20409091
342,16.50272727,14.235,7.499090909,12.36590909,13.465,14.27545455,11.98227273,13.57090909,6.420909091,9.818636364,7.408181818,9.724545455
344,15.365,13.05454545,6.583181818,11.11454545,12.86363636,13.03090909,11.02863636,12.25045455,5.797727273,8.940454545,6.705454545,9.481818182
346,13.70818182,11.60818182,5.945,10.17136364,11.71409091,11.58909091,9.826363636,10.97818182,5.399545455,8.168181818,6.276818182,9.173636364
348,12.79954545,10.40545455,5.646363636,9.492727273,10.70136364,10.31409091,8.840909091,10.155,4.986363636,7.918636364,5.988181818,8.539545455
350,11.83363636,9.220454545,5.249545455,8.591818182,9.481818182,8.842272727,7.956818182,9.057272727,4.345909091,7.287272727,5.600454545,7.794545455
352,10.96181818,8.57,4.723636364,7.740909091,8.69,7.998181818,7.17,8.165909091,3.862727273,6.774090909,5.400454545,7.357727273
354,10.17727273,8.069545455,4.309090909,6.963636364,8.018181818,7.335,6.51,7.384090909,3.725454545,6.432272727,5.271818182,7.079090909
356,9.375454545,7.543636364,3.872272727,6.093181818,7.216363636,6.417727273,5.795909091,6.478181818,3.459545455,6.068181818,5.171363636,6.661818182
358,8.722727273,7.150454545,3.515,5.620454545,6.601363636,5.877727273,5.477727273,5.818181818,3.260909091,5.61,4.934090909,6.203636364
360,7.973636364,6.516818182,2.87,4.881363636,5.852727273,5.524090909,4.924090909,5.106818182,3,5.104545455,4.593181818,5.738636364
362,7.415454545,5.985,2.372727273,4.418181818,5.324090909,5.260454545,4.540454545,4.738636364,2.891363636,4.789545455,4.240454545,5.524090909
364,6.883181818,5.57,1.921363636,4.108181818,4.899090909,4.909090909,4.172272727,4.438181818,2.630454545,4.575454545,3.974545455,5.104090909
366,6.336363636,5.198181818,1.356363636,3.782272727,4.613636364,4.464545455,3.658636364,3.906363636,2.273181818,4.249545455,3.652272727,4.514545455
368,6.065909091,4.921818182,0.982272727,3.445,4.501363636,4.108181818,3.210909091,3.51,1.946818182,4.008636364,3.526363636,4.291363636
