spp,wl,Transm
A.pras,509.05,0.58934
A.pras,509.327,0.5829
A.pras,509.603,0.58614
A.pras,509.879,0.58828
A.pras,510.156,0.59078
A.pras,510.432,0.59315
A.pras,510.708,0.59565
A.pras,510.984,0.59765
A.pras,511.261,0.60022
A.pras,511.537,0.6026
A.pras,511.813,0.60505
A.pras,512.09,0.60762
A.pras,512.366,0.60976
A.pras,512.642,0.61214
A.pras,512.918,0.61478
A.pras,513.195,0.61703
A.pras,513.471,0.61881
A.pras,513.747,0.62173
A.pras,514.024,0.62429
A.pras,514.3,0.62576
A.pras,514.576,0.62838
A.pras,514.852,0.63039
A.pras,515.129,0.63268
A.pras,515.405,0.63481
A.pras,515.681,0.63769
A.pras,515.957,0.63919
A.pras,516.234,0.64107
A.pras,516.51,0.64333
A.pras,516.786,0.6456
A.pras,517.062,0.64798
A.pras,517.339,0.65004
A.pras,517.615,0.65226
A.pras,517.891,0.65471
A.pras,518.167,0.65726
A.pras,518.443,0.65897
A.pras,518.72,0.66089
A.pras,518.996,0.66286
A.pras,519.272,0.66516
A.pras,519.548,0.66692
A.pras,519.824,0.66911
A.pras,520.101,0.67117
A.pras,520.377,0.67311
A.pras,520.653,0.67518
A.pras,520.929,0.67683
A.pras,521.205,0.67893
A.pras,521.482,0.68094
A.pras,521.758,0.68264
A.pras,522.034,0.68505
A.pras,522.31,0.68706
A.pras,522.586,0.68838
A.pras,522.863,0.69005
A.pras,523.139,0.69208
A.pras,523.415,0.69375
A.pras,523.691,0.69464
A.pras,523.967,0.6975
A.pras,524.243,0.69865
A.pras,524.52,0.70057
A.pras,524.796,0.70228
A.pras,525.072,0.70339
A.pras,525.348,0.70536
A.pras,525.624,0.70743
A.pras,525.9,0.70836
A.pras,526.176,0.71022
A.pras,526.453,0.7116
A.pras,526.729,0.71329
A.pras,527.005,0.71406
A.pras,527.281,0.71583
A.pras,527.557,0.71784
A.pras,527.833,0.71963
A.pras,528.109,0.72039
A.pras,528.385,0.72173
A.pras,528.661,0.72281
A.pras,528.938,0.72478
A.pras,529.214,0.72578
A.pras,529.49,0.72679
A.pras,529.766,0.72863
A.pras,530.042,0.73009
A.pras,530.318,0.73168
A.pras,530.594,0.73223
A.pras,530.87,0.73383
A.pras,531.146,0.73389
A.pras,531.422,0.73526
A.pras,531.699,0.73654
A.pras,531.975,0.73792
A.pras,532.251,0.73895
A.pras,532.527,0.74008
A.pras,532.803,0.74073
A.pras,533.079,0.74235
A.pras,533.355,0.74371
A.pras,533.631,0.74396
A.pras,533.907,0.74499
A.pras,534.183,0.74588
A.pras,534.459,0.74703
A.pras,534.735,0.74768
A.pras,535.011,0.74903
A.pras,535.287,0.75016
A.pras,535.563,0.75064
A.pras,535.839,0.75165
A.pras,536.115,0.75251
A.pras,536.391,0.75286
A.pras,536.667,0.75415
A.pras,536.943,0.7552
A.pras,537.219,0.75624
A.pras,537.495,0.75647
A.pras,537.771,0.75719
A.pras,538.047,0.75822
A.pras,538.323,0.75904
A.pras,538.599,0.75933
A.pras,538.875,0.75993
A.pras,539.151,0.76034
A.pras,539.427,0.76129
A.pras,539.703,0.76185
A.pras,539.979,0.7629
A.pras,540.255,0.76319
A.pras,540.531,0.76309
A.pras,540.807,0.76407
A.pras,541.083,0.76442
A.pras,541.359,0.76542
A.pras,541.635,0.76609
A.pras,541.911,0.76615
A.pras,542.187,0.76669
A.pras,542.463,0.76682
A.pras,542.739,0.76724
A.pras,543.015,0.76818
A.pras,543.291,0.76873
A.pras,543.567,0.76875
A.pras,543.843,0.76984
A.pras,544.119,0.76984
A.pras,544.395,0.77015
A.pras,544.671,0.77044
A.pras,544.947,0.7707
A.pras,545.223,0.77094
A.pras,545.499,0.77154
A.pras,545.775,0.77163
A.pras,546.05,0.77121
A.pras,546.326,0.77181
A.pras,546.602,0.77235
A.pras,546.878,0.77256
A.pras,547.154,0.77322
A.pras,547.43,0.77312
A.pras,547.706,0.7741
A.pras,547.982,0.77349
A.pras,548.258,0.77355
A.pras,548.534,0.77366
A.pras,548.81,0.77399
A.pras,549.085,0.77369
A.pras,549.361,0.77458
A.pras,549.637,0.77475
A.pras,549.913,0.77535
A.pras,550.189,0.77518
A.pras,550.465,0.77529
A.pras,550.741,0.77462
A.pras,551.017,0.77479
A.pras,551.292,0.77496
A.pras,551.568,0.77539
A.pras,551.844,0.7754
A.pras,552.12,0.77564
A.pras,552.396,0.7759
A.pras,552.672,0.77539
