section,rectangle,ROI,label,xcentroid,ycentroid,MajorAxis,MinorAxis,angle,circ.,AR,round,solidity
1,1,1,20210909_Xyln_01_1.tif,3.526,0.494,0.952,0.524,136.397,0.771,1.816,0.551,0.913
1,1,2,20210909_Xyln_01_1.tif,1.092,0.653,0.749,0.544,164.154,0.898,1.377,0.726,0.966
1,1,3,20210909_Xyln_01_1.tif,1.897,1.034,1.153,0.644,96.091,0.45,1.791,0.558,0.836
1,1,4,20210909_Xyln_01_1.tif,2.747,0.965,0.921,0.519,164.233,0.834,1.774,0.564,0.937
1,1,5,20210909_Xyln_01_1.tif,0.656,1.025,0.715,0.459,138.256,0.882,1.556,0.643,0.929
1,1,6,20210909_Xyln_01_1.tif,3.596,1.55,1.355,0.718,89.849,0.432,1.888,0.53,0.777
1,1,7,20210909_Xyln_01_1.tif,2.689,1.592,0.763,0.537,148.463,0.906,1.42,0.704,0.931
1,1,8,20210909_Xyln_01_1.tif,1.206,1.612,0.83,0.593,177,0.921,1.399,0.715,0.95
1,1,9,20210909_Xyln_01_1.tif,0.422,1.901,0.704,0.647,177.987,0.954,1.089,0.918,0.942
1,1,10,20210909_Xyln_01_1.tif,2,1.998,0.9,0.626,179.803,0.912,1.438,0.696,0.951
1,1,11,20210909_Xyln_01_1.tif,2.927,2.256,0.862,0.55,3.128,0.82,1.567,0.638,0.919
1,1,12,20210909_Xyln_01_1.tif,1.132,2.347,0.773,0.629,150.699,0.928,1.228,0.815,0.942
1,1,13,20210909_Xyln_01_1.tif,4.095,2.358,0.481,0.259,27.535,0.746,1.857,0.539,0.811
1,1,14,20210909_Xyln_01_1.tif,1.92,2.713,0.765,0.592,171.724,0.921,1.292,0.774,0.932
1,1,15,20210909_Xyln_01_1.tif,3.655,2.829,0.912,0.406,155.142,0.736,2.248,0.445,0.906
1,1,16,20210909_Xyln_01_1.tif,2.679,3.096,0.847,0.582,166.31,0.887,1.456,0.687,0.926
1,1,17,20210909_Xyln_01_1.tif,1.087,3.295,0.717,0.452,155.238,0.783,1.587,0.63,0.891
1,1,18,20210909_Xyln_01_1.tif,3.554,3.435,0.834,0.651,156.841,0.931,1.281,0.78,0.941
1,1,19,20210909_Xyln_01_1.tif,1.984,3.556,0.801,0.586,144.498,0.896,1.367,0.731,0.932
1,1,20,20210909_Xyln_01_1.tif,0.505,3.814,0.828,0.642,149.349,0.921,1.289,0.776,0.939
1,1,21,20210909_Xyln_01_1.tif,2.882,3.807,0.819,0.657,142.31,0.939,1.246,0.802,0.956
1,1,22,20210909_Xyln_01_1.tif,1.425,3.962,0.847,0.604,158.068,0.902,1.403,0.713,0.937
1,1,23,20210909_Xyln_01_1.tif,3.729,4.186,0.898,0.544,146.525,0.862,1.652,0.605,0.938
1,1,24,20210909_Xyln_01_1.tif,2.416,4.277,0.85,0.538,154.805,0.858,1.578,0.634,0.919
1,1,25,20210909_Xyln_01_1.tif,0.943,4.528,0.711,0.596,164.123,0.959,1.193,0.838,0.947
1,1,26,20210909_Xyln_01_1.tif,3.236,4.668,0.826,0.649,150.573,0.902,1.272,0.786,0.928
1,1,27,20210909_Xyln_01_1.tif,1.783,4.661,0.732,0.56,142.387,0.957,1.308,0.765,0.954
1,1,28,20210909_Xyln_01_1.tif,2.484,5.023,0.728,0.562,19.111,0.897,1.294,0.773,0.923
1,1,29,20210909_Xyln_01_1.tif,0.604,5.087,0.782,0.521,152.178,0.922,1.502,0.666,0.945
1,1,30,20210909_Xyln_01_1.tif,1.517,5.21,0.964,0.492,155.812,0.753,1.96,0.51,0.916
1,1,31,20210909_Xyln_01_1.tif,3.71,5.321,0.684,0.453,155.524,0.883,1.512,0.661,0.94
1,1,32,20210909_Xyln_01_1.tif,3.046,5.499,0.847,0.449,161.098,0.79,1.888,0.53,0.904
1,1,33,20210909_Xyln_01_1.tif,0.407,5.657,0.611,0.483,160.284,0.956,1.263,0.792,0.947
1,1,34,20210909_Xyln_01_1.tif,1.215,5.707,0.727,0.443,163.722,0.844,1.639,0.61,0.914
1,1,35,20210909_Xyln_01_1.tif,2.104,5.899,0.697,0.489,162.513,0.948,1.424,0.702,0.956
