label,ROI,x,y,ROIcomp,x1,y2
20210909_Xyln_01_1.tif,10,2,1.998,8,1.206,1.612
20210909_Xyln_01_1.tif,10,2,1.998,3,1.897,1.034
20210909_Xyln_01_1.tif,10,2,1.998,7,2.689,1.592
20210909_Xyln_01_1.tif,10,2,1.998,11,2.927,2.256
20210909_Xyln_01_1.tif,10,2,1.998,14,1.92,2.713
20210909_Xyln_01_1.tif,30,1.517,5.21,27,1.783,4.661
20210909_Xyln_01_1.tif,30,1.517,5.21,25,0.943,4.528
20210909_Xyln_01_1.tif,30,1.517,5.21,29,0.604,5.087
20210909_Xyln_01_1.tif,30,1.517,5.21,34,1.215,5.707
20210909_Xyln_01_1.tif,30,1.517,5.21,35,2.104,5.899
20210909_Xyln_01_1.tif,30,1.517,5.21,28,2.484,5.023
20210909_Xyln_01_2.tif,10,2.482,1.546,5,1.951,0.872
20210909_Xyln_01_2.tif,10,2.482,1.546,4,2.768,0.814
20210909_Xyln_01_2.tif,10,2.482,1.546,8,3.295,1.379
20210909_Xyln_01_2.tif,10,2.482,1.546,14,1.924,2.037
20210909_Xyln_01_2.tif,10,2.482,1.546,17,2.734,2.32
20210909_Xyln_01_2.tif,10,2.482,1.546,9,1.501,1.399
20210909_Xyln_01_4.tif,10,2.582,1.811,5,2.574,1.007
20210909_Xyln_01_4.tif,10,2.582,1.811,8,1.8,1.324
20210909_Xyln_01_4.tif,10,2.582,1.811,12,1.819,1.951
20210909_Xyln_01_4.tif,10,2.582,1.811,15,2.295,2.391
20210909_Xyln_01_4.tif,10,2.582,1.811,17,2.931,2.734
20210909_Xyln_01_4.tif,10,2.582,1.811,14,3.285,2.261
20210909_Xyln_01_4.tif,10,2.582,1.811,7,3.393,1.287
20210909_Xyln_01_5.tif,10,3.191,1.105,2,3.139,0.492
20210909_Xyln_01_5.tif,10,3.191,1.105,5,2.32,0.708
20210909_Xyln_01_5.tif,10,3.191,1.105,13,2.413,1.36
20210909_Xyln_01_5.tif,10,3.191,1.105,18,3.411,1.778
20210909_Xyln_01_5.tif,10,3.191,1.105,6,4.055,0.905
20210909_Xyln_01_5.tif,10,3.191,1.105,17,4.536,1.703
20210909_Xyln_02_1.tif,50,1.333,5.642,56,1.004,6.211
20210909_Xyln_02_1.tif,50,1.333,5.642,57,1.904,6.234
20210909_Xyln_02_1.tif,50,1.333,5.642,51,2.159,5.665
20210909_Xyln_02_1.tif,50,1.333,5.642,45,1.768,5.047
20210909_Xyln_02_1.tif,50,1.333,5.642,43,0.844,4.994
20210909_Xyln_02_1.tif,50,1.333,5.642,49,0.53,5.632
20210909_Xyln_02_2.tif,20,5.09,2.217,14,4.819,1.675
20210909_Xyln_02_2.tif,20,5.09,2.217,19,4.161,1.86
20210909_Xyln_02_2.tif,20,5.09,2.217,15,5.772,1.716
20210909_Xyln_02_2.tif,20,5.09,2.217,21,6.241,2.316
20210909_Xyln_02_2.tif,20,5.09,2.217,25,5.352,2.736
20210909_Xyln_02_2.tif,20,5.09,2.217,27,4.23,2.905
20210909_Xyln_02_2.tif,20,5.09,2.217,23,3.702,2.412
20210909_Xyln_02_3.tif,30,4.969,3.037,24,4.991,2.438
20210909_Xyln_02_3.tif,30,4.969,3.037,26,4.296,2.61
20210909_Xyln_02_3.tif,30,4.969,3.037,36,4.219,3.299
20210909_Xyln_02_3.tif,30,4.969,3.037,37,5.195,3.647
20210909_Xyln_02_3.tif,30,4.969,3.037,31,5.698,3.135
20210909_Xyln_02_4.tif,40,1.459,5.766,36,1.271,5.051
20210909_Xyln_02_4.tif,40,1.459,5.766,34,0.483,4.881
20210909_Xyln_02_4.tif,40,1.459,5.766,38,0.562,5.569
20210909_Xyln_02_4.tif,40,1.459,5.766,42,0.633,6.177
20210909_Xyln_02_5.tif,10,1.638,1.358,4,1.549,0.74
20210909_Xyln_02_5.tif,10,1.638,1.358,5,0.716,0.983
20210909_Xyln_02_5.tif,10,1.638,1.358,8,2.522,1.148
20210909_Xyln_02_5.tif,10,1.638,1.358,18,1.838,2.016
20210909_Xyln_02_5.tif,10,1.638,1.358,15,3.099,1.945
20210909_Xyln_02_5.tif,10,1.638,1.358,14,0.793,1.64
20210909_Xyln_03_1.tif,40,3.669,4.076,33,3.328,3.539
20210909_Xyln_03_1.tif,40,3.669,4.076,34,4.137,3.637
20210909_Xyln_03_1.tif,40,3.669,4.076,37,2.713,3.763
20210909_Xyln_03_1.tif,40,3.669,4.076,45,2.585,4.244
20210909_Xyln_03_1.tif,40,3.669,4.076,46,3.339,4.579
20210909_Xyln_03_1.tif,40,3.669,4.076,47,4.125,4.652
20210909_Xyln_03_1.tif,40,3.669,4.076,42,4.588,4.241
20210909_Xyln_03_2.tif,20,6.21,2.87,13,5.535,1.988
20210909_Xyln_03_2.tif,20,6.21,2.87,14,6.524,1.997
20210909_Xyln_03_2.tif,20,6.21,2.87,19,5.215,2.593
20210909_Xyln_03_2.tif,20,6.21,2.87,25,5.153,3.051
20210909_Xyln_03_2.tif,20,6.21,2.87,29,6.313,3.75
20210909_Xyln_03_3.tif,50,4.951,5.288,41,4.307,4.493
20210909_Xyln_03_3.tif,50,4.951,5.288,46,5.17,4.824
20210909_Xyln_03_3.tif,50,4.951,5.288,47,4.084,4.965
20210909_Xyln_03_3.tif,50,4.951,5.288,49,6.022,5.174
20210909_Xyln_03_3.tif,50,4.951,5.288,54,4.139,5.622
20210909_Xyln_03_3.tif,50,4.951,5.288,55,5.545,5.704
20210909_Xyln_03_3.tif,50,4.951,5.288,59,5.016,6.116
20210909_Xyln_03_4.tif,20,2.539,2.953,16,1.927,2.314
20210909_Xyln_03_4.tif,20,2.539,2.953,17,2.96,2.423
20210909_Xyln_03_4.tif,20,2.539,2.953,21,3.519,3.043
20210909_Xyln_03_4.tif,20,2.539,2.953,24,2.084,3.513
20210909_Xyln_03_4.tif,20,2.539,2.953,25,3.139,3.624
20210909_Xyln_03_5.tif,9,4.052,1.226,1,3.131,0.571
20210909_Xyln_03_5.tif,9,4.052,1.226,3,4.029,0.658
20210909_Xyln_03_5.tif,9,4.052,1.226,5,4.857,0.989
20210909_Xyln_03_5.tif,9,4.052,1.226,7,3.192,1.164
20210909_Xyln_03_5.tif,9,4.052,1.226,10,5.316,1.415
20210909_Xyln_03_5.tif,9,4.052,1.226,12,4.464,1.808
