wl,TranA330P732XpolN,ReflA330P732XpolN,TranA330P732ZpolN,ReflA330P732ZpolN,TranA330P868XpolN,ReflA330P868XpolN,TranA330P868ZpolN,ReflA330P868ZpolN,TranA330P967XpolN,ReflA330P967XpolN,TranA330P967ZpolN,ReflA330P967ZpolN,TranA301P868XpolN,ReflA301P868XpolN,TranA301P868ZpolN,ReflA301P868ZpolN,TranA366P868XpolN,ReflA366P868XpolN,TranA366P868ZpolN,ReflA366P868ZpolN,TranA330P868XpolO,ReflA330P868XpolO,TranA330P868ZpolO,ReflA330P868ZpolO
350,0.81376,0.18624,0.6862,0.3138,0.84572,0.15428,0.52097,0.47903,0.95527,0.044735,0.52097,0.47903,0.65128,0.34872,0.62537,0.37463,0.49692,0.50308,0.7292,0.2708,0.10817,0.89183,0.21367,0.78633
352,0.82559,0.17441,0.54414,0.45586,0.79412,0.20588,0.55844,0.44156,0.95788,0.042119,0.55844,0.44156,0.52485,0.47515,0.75367,0.24633,0.25654,0.74346,0.72605,0.27395,0.12342,0.87658,0.21148,0.78852
354,0.79967,0.20033,0.45557,0.54443,0.60027,0.39973,0.61778,0.38222,0.92052,0.079477,0.61778,0.38222,0.49514,0.50486,0.8073,0.1927,0.15791,0.84209,0.72033,0.27967,0.3178,0.6822,0.19615,0.80385
356,0.76665,0.23335,0.42403,0.57597,0.44968,0.55032,0.6952,0.3048,0.88195,0.11805,0.6952,0.3048,0.51541,0.48459,0.69788,0.30212,0.12133,0.87867,0.68112,0.31888,0.54422,0.45578,0.14582,0.85418
358,0.75689,0.24311,0.4331,0.5669,0.394,0.606,0.81326,0.18674,0.86472,0.13528,0.81326,0.18674,0.56634,0.43366,0.68441,0.31559,0.18868,0.81132,0.60407,0.39593,0.29322,0.70678,0.15403,0.84597
360,0.79131,0.20869,0.47244,0.52756,0.38579,0.61421,0.89903,0.10097,0.88145,0.11855,0.89903,0.10097,0.6559,0.3441,0.71521,0.28479,0.38296,0.61704,0.48942,0.51058,0.34657,0.65343,0.20831,0.79169
362,0.86833,0.13167,0.52817,0.47183,0.40764,0.59236,0.80577,0.19423,0.89007,0.10993,0.80577,0.19423,0.80132,0.19868,0.7636,0.2364,0.65922,0.34078,0.34579,0.65421,0.48609,0.51391,0.25696,0.74304
364,0.92478,0.07522,0.58295,0.41705,0.46772,0.53228,0.77545,0.22455,0.77427,0.22573,0.77545,0.22455,0.93753,0.062471,0.81284,0.18716,0.73267,0.26733,0.19918,0.80082,0.4825,0.5175,0.30318,0.69682
366,0.83819,0.16181,0.65731,0.34269,0.60616,0.39384,0.79883,0.20117,0.63801,0.36199,0.79883,0.20117,0.93906,0.060936,0.85247,0.14753,0.67458,0.32542,0.13999,0.86001,0.4599,0.5401,0.37561,0.62439
368,0.70261,0.29739,0.75093,0.24907,0.8241,0.1759,0.85997,0.14003,0.55175,0.44825,0.85997,0.14003,0.8871,0.1129,0.88182,0.11818,0.64199,0.35801,0.4269,0.5731,0.48675,0.51325,0.51841,0.48159
370,0.63804,0.36196,0.83426,0.16574,0.79563,0.20437,0.88608,0.11392,0.4887,0.5113,0.88608,0.11392,0.85058,0.14942,0.90395,0.096051,0.66993,0.33007,0.78099,0.21901,0.53608,0.46392,0.42881,0.57119
372,0.4775,0.5225,0.88047,0.11953,0.74358,0.25642,0.87506,0.12494,0.54588,0.45412,0.87506,0.12494,0.82993,0.17007,0.91363,0.086367,0.73259,0.26741,0.84917,0.15083,0.58319,0.41681,0.43992,0.56008
374,0.426,0.574,0.91143,0.088568,0.62255,0.37745,0.91316,0.086836,0.51142,0.48858,0.91316,0.086836,0.83303,0.16697,0.90093,0.099065,0.81957,0.18043,0.86692,0.13308,0.59377,0.40623,0.47271,0.52729
376,0.40263,0.59737,0.94294,0.057065,0.5002,0.4998,0.86316,0.13684,0.50616,0.49384,0.86316,0.13684,0.86318,0.13682,0.87056,0.12944,0.90929,0.090706,0.85488,0.14512,0.57174,0.42826,0.51344,0.48656
378,0.39871,0.60129,0.95048,0.049521,0.31553,0.68447,0.70315,0.29685,0.55842,0.44158,0.70315,0.29685,0.90428,0.095724,0.84294,0.15706,0.96822,0.03178,0.79431,0.20569,0.53234,0.46766,0.55481,0.44519
380,0.41351,0.58649,0.79309,0.20691,0.24097,0.75903,0.66156,0.33844,0.6505,0.3495,0.66156,0.33844,0.93304,0.066956,0.83516,0.16484,0.98112,0.018876,0.80856,0.19144,0.48795,0.51205,0.59026,0.40974
382,0.40047,0.59953,0.50349,0.49651,0.47031,0.52969,0.62352,0.37648,0.64234,0.35766,0.62352,0.37648,0.93117,0.068834,0.85336,0.14664,0.94392,0.056078,0.86772,0.13228,0.45643,0.54357,0.62483,0.37517
384,0.37659,0.62341,0.38988,0.61012,0.55145,0.44855,0.59494,0.40506,0.4577,0.5423,0.59494,0.40506,0.90099,0.09901,0.89329,0.10671,0.88325,0.11675,0.91968,0.080315,0.45885,0.54115,0.64937,0.35063
386,0.37663,0.62337,0.37661,0.62339,0.62787,0.37213,0.56749,0.43251,0.30803,0.69197,0.56749,0.43251,0.91388,0.08612,0.92057,0.079428,0.8272,0.1728,0.93491,0.065087,0.51354,0.48646,0.66077,0.33923
388,0.43304,0.56696,0.54032,0.45968,0.70663,0.29337,0.3322,0.6678,0.3043,0.6957,0.3322,0.6678,0.73776,0.26224,0.85755,0.14245,0.77656,0.22344,0.90468,0.095322,0.60394,0.39606,0.67728,0.32272
390,0.50563,0.49437,0.53165,0.46835,0.77259,0.22741,0.90123,0.098775,0.31001,0.68999,0.90123,0.098775,0.56398,0.43602,0.74304,0.25696,0.73161,0.26839,0.84176,0.15824,0.64517,0.35483,0.71598,0.28402
392,0.59086,0.40914,0.58899,0.41101,0.81995,0.18005,0.8762,0.1238,0.73683,0.26317,0.8762,0.1238,0.43482,0.56518,0.65382,0.34618,0.70492,0.29508,0.76733,0.23267,0.62968,0.37032,0.75862,0.24138
394,0.68208,0.31792,0.70259,0.29741,0.84859,0.15141,0.8693,0.1307,0.49146,0.50854,0.8693,0.1307,0.52334,0.47666,0.57413,0.42587,0.70707,0.29293,0.69953,0.30047,0.64608,0.35392,0.7529,0.2471
396,0.76553,0.23447,0.80354,0.19646,0.86338,0.13662,0.91943,0.080573,0.47385,0.52615,0.91943,0.080573,0.60139,0.39861,0.45654,0.54346,0.74214,0.25786,0.65136,0.34864,0.69008,0.30992,0.65607,0.34393
398,0.81252,0.18748,0.78695,0.21305,0.87812,0.12188,0.96372,0.036283,0.49233,0.50767,0.96372,0.036283,0.6457,0.3543,0.27584,0.72416,0.80757,0.19243,0.63724,0.36276,0.65013,0.34987,0.53079,0.46921
400,0.78227,0.21773,0.68195,0.31805,0.90397,0.096034,0.97335,0.026653,0.53049,0.46951,0.97335,0.026653,0.66074,0.33926,0.50971,0.49029,0.88546,0.11454,0.63848,0.36152,0.63015,0.36985,0.50178,0.49822
